-0.38,-2.87,0,0,0,1.48
-0.13,-1.1,0,0,0,-1.05
0.5,-2.84,0,0,0,1.75
0.62,-1.1,0,0,0,-1.83
1.19,-2.19,2.19,0,0,-3.14
1.3,-2.9,0,0,0,1.31
2.05,-2.91,0,0,0,2.09
3.05,-2.02,2.44,-1.57,0.06,-1.57
4.08,2.49,1.07,0,0,-1.57
4.1,-6.78,1.07,0,0,1.57
5.57,-0.07,0.83,0,-0.88,0
5.57,-4.07,0.83,0,-0.88,0
5.6,2.03,0.83,0,-0.88,0
5.71,-1.89,2.19,0,0,-3.14
7.55,-0.68,0.75,0,0,1.13
7.62,-0.1,0.7,0,0,1.57
7.62,-6.47,0.83,0,-0.88,0
7.67,1.95,0.7,0,0,1.57
7.67,-4.07,0.7,0,0,1.57
8.57,-6.53,0.44,0,0.14,3.14
8.6,-4.1,0.44,0,0.14,3.14
8.7,2,0.44,0,0.14,3.14
8.7,-0.1,0.44,0,0.14,3.14
10.02,-6.42,0.83,0,-0.88,0
10.02,-0.05,0.83,0,-0.88,0
10.02,-4.05,0.83,0,-0.88,0
10.05,2.05,0.7,0,0,1.57
10.05,2.05,0.83,0,-0.88,0
10.11,-1.96,2.19,0,0,-3.14
11.07,2.1,0.44,0,0.14,3.14
12.57,2.03,0.83,0,-0.88,0
12.58,-6.33,0.7,0,0,1.57
13.47,-6.45,0.44,0,0.14,3.14
13.5,-4.03,0.44,0,0.14,3.14
13.6,-0.03,0.44,0,0.14,3.14
14.54,-2.01,2.19,0,0,-3.14
15.5,2.12,0.17,0,0,-0.87
15.5,-6.15,0.17,0,0,-0.87
15.89,-6.7,0.17,0,0,0
17.02,-6.1,0.17,0,0,-1.57
17.68,-6.07,0,0,0,-1.57
17.75,2.1,0.17,0,0,-0.87
17.99,-5.96,0.75,0,0,-0.44
19.03,2.57,0,0,0,1.57
19.52,-6.96,0,0,0,1.57
20.55,-1.95,0,0,0,-3.14
21.48,-0.67,0,0,0,-2.62
